sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Water-A,Water,1,3,6,OLS,-0.025194913754615245,0.9264747628848489,8,True
Water-A,Water,1,3,7,OLS,0.5176769855009453,0.9264747628848489,8,True
Water-A,Water,1,3,8,OLS,0.8880060711069153,0.9264747628848489,8,True
Water-A,Water,1,3,1,OLS_raw,0.3723022008361653,0.9362616228515735,8,True
Water-A,Water,1,3,2,OLS_raw,-0.2925469919261816,0.9362616228515735,8,True
Water-A,Water,1,3,3,OLS_raw,-0.06313179614590703,0.9362616228515735,8,True
Water-A,Water,1,3,4,OLS_raw,-3.6952573657619343,0.9362616228515735,8,True
Water-A,Water,1,3,5,OLS_raw,-4.797293360502269,0.9362616228515735,8,True
Water-A,Water,1,3,6,OLS_raw,-0.5896800846503414,0.9362616228515735,8,True
Water-A,Water,1,3,7,OLS_raw,0.5437340635146193,0.9362616228515735,8,True
Water-A,Water,1,3,8,OLS_raw,0.9160705848349074,0.9362616228515735,8,True
Water-A,Water,1,3,1,endpoint,0.35916033077449927,0.9433641383883203,8,True
Water-A,Water,1,3,2,endpoint,-0.28394658776569015,0.9433641383883203,8,True
Water-A,Water,1,3,3,endpoint,-0.11384774359428995,0.9433641383883203,8,True
Water-A,Water,1,3,4,endpoint,-0.45734567872224785,0.9433641383883203,8,True
Water-A,Water,1,3,5,endpoint,-2.0205309386010337,0.9433641383883203,8,True
Water-A,Water,1,3,6,endpoint,-0.18372605816155274,0.9433641383883203,8,True
Water-A,Water,1,3,7,endpoint,0.4996503361872531,0.9433641383883203,8,True
Water-A,Water,1,3,8,endpoint,0.9379667558478113,0.9433641383883203,8,True
Water-A,Water,1,3,1,persistence,0.36517838516257917,0.9431445842343064,8,True
Water-A,Water,1,3,2,persistence,-0.3178739355548088,0.9431445842343064,8,True
Water-A,Water,1,3,3,persistence,-0.15093505787385597,0.9431445842343064,8,True
Water-A,Water,1,3,4,persistence,-0.4980828007995124,0.9431445842343064,8,True
Water-A,Water,1,3,5,persistence,-1.041666666666667,0.9431445842343064,8,True
Water-A,Water,1,3,6,persistence,-0.22083329882968683,0.9431445842343064,8,True
Water-A,Water,1,3,7,persistence,0.4863429157067901,0.9431445842343064,8,True
Water-A,Water,1,3,8,persistence,0.9398195286425454,0.9431445842343064,8,True
Water-A,Water,1,4,1,OLS,,0.8307376269860147,6,True
Water-A,Water,1,4,2,OLS,0.8464444949528835,0.8307376269860147,6,True
Water-A,Water,1,4,3,OLS,0.3214370163330582,0.8307376269860147,6,True
Water-A,Water,1,4,4,OLS,0.8557968528298642,0.8307376269860147,6,True
Water-A,Water,1,4,5,OLS,,0.8307376269860147,6,True
Water-A,Water,1,4,6,OLS,0.048801260454099715,0.8307376269860147,6,True
Water-A,Water,1,4,7,OLS,0.7047819193150271,0.8307376269860147,6,True
Water-A,Water,1,4,8,OLS,0.8906919044787982,0.8307376269860147,6,True
Water-A,Water,1,4,1,OLS_raw,,0.8127767769605986,6,True
Water-A,Water,1,4,2,OLS_raw,0.7834049947278325,0.8127767769605986,6,True
Water-A,Water,1,4,3,OLS_raw,0.32969847416358833,0.8127767769605986,6,True
Water-A,Water,1,4,4,OLS_raw,0.9006248190888742,0.8127767769605986,6,True
Water-A,Water,1,4,5,OLS_raw,,0.8127767769605986,6,True
Water-A,Water,1,4,6,OLS_raw,-0.2850289724871726,0.8127767769605986,6,True
Water-A,Water,1,4,7,OLS_raw,0.7161970084717881,0.8127767769605986,6,True
Water-A,Water,1,4,8,OLS_raw,0.9013999992070427,0.8127767769605986,6,True
Water-A,Water,1,4,1,endpoint,,0.809519373393442,6,True
Water-A,Water,1,4,2,endpoint,0.8333015462832805,0.809519373393442,6,True
Water-A,Water,1,4,3,endpoint,0.129941514392793,0.809519373393442,6,True
Water-A,Water,1,4,4,endpoint,0.8846919623838817,0.809519373393442,6,True
Water-A,Water,1,4,5,endpoint,,0.809519373393442,6,True
Water-A,Water,1,4,6,endpoint,-0.057145143853567726,0.809519373393442,6,True
Water-A,Water,1,4,7,endpoint,0.6405580145856775,0.809519373393442,6,True
Water-A,Water,1,4,8,endpoint,0.8921492218674044,0.809519373393442,6,True
Water-A,Water,1,4,1,persistence,,0.805715372655572,6,True
Water-A,Water,1,4,2,persistence,0.8256842416723357,0.805715372655572,6,True
Water-A,Water,1,4,3,persistence,0.06287742875934954,0.805715372655572,6,True
Water-A,Water,1,4,4,persistence,0.8840451088507937,0.805715372655572,6,True
Water-A,Water,1,4,5,persistence,,0.805715372655572,6,True
Water-A,Water,1,4,6,persistence,-0.11696125512698585,0.805715372655572,6,True
Water-A,Water,1,4,7,persistence,0.6201402077670635,0.805715372655572,6,True
Water-A,Water,1,4,8,persistence,0.8977542481958751,0.805715372655572,6,True
